camera,filename,radius,config,margin_inner_px,margin_outer_px,inner_frac,outer_frac,raw_erf,raw_int_var,raw_bg_var,raw_int_max,flat_erf,flat_int_var,flat_bg_var,flat_int_max,erf_delta,erf_pct,int_var_reduction,bg_var_reduction
v,sphere0086v_crop.png,124,fixed_35px,35,35,0.28225806451612906,0.28225806451612906,0.7349181146767315,0.02988489903509617,0.011950927786529064,0.9176470637321472,0.7805164359669888,0.0,0.0,0.0,0.045598321290257315,6.204544476402606,1.0,1.0
v,sphere0086v_crop.png,124,fixed_50px,50,50,0.4032258064516129,0.4032258064516129,0.7349181146767315,0.02988489903509617,0.011950927786529064,0.9176470637321472,0.7543007971512584,0.0,0.0,0.0,0.019382682474526902,2.63739348472214,1.0,1.0
v,sphere0086v_crop.png,124,fixed_70px,70,70,0.5645161290322581,0.5645161290322581,0.7349181146767315,0.02988489903509617,0.011950927786529064,0.9176470637321472,0.7349182371682557,0.0,0.013379927724599838,0.0,1.2249152414600673e-07,1.6667370377703518e-05,1.0,-0.11957230129710306
v,sphere0086v_crop.png,124,prop_5pct,6,6,0.04838709677419355,0.04838709677419355,0.7349181146767315,0.02988489903509617,0.011950927786529064,0.9176470637321472,1.0945809345868958,0.0,0.0,0.0,0.35966281991016424,48.9391692390613,1.0,1.0
v,sphere0086v_crop.png,124,prop_8pct,9,9,0.07258064516129033,0.07258064516129033,0.7349181146767315,0.02988489903509617,0.011950927786529064,0.9176470637321472,1.0254596945632795,0.0,0.0,0.0,0.29054157988654794,39.533871064580914,1.0,1.0
v,sphere0086v_crop.png,124,prop_10pct,12,12,0.0967741935483871,0.0967741935483871,0.7349181146767315,0.02988489903509617,0.011950927786529064,0.9176470637321472,0.9624696766601697,0.0,0.0,0.0,0.22755156198343818,30.96284571561164,1.0,1.0
v,sphere0086v_crop.png,124,prop_14pct,17,17,0.13709677419354838,0.13709677419354838,0.7349181146767315,0.02988489903509617,0.011950927786529064,0.9176470637321472,0.8783597866667021,0.0,0.0,0.0,0.1434416719899706,19.51804821861906,1.0,1.0
v,sphere0086v_crop.png,124,prop_20pct,24,24,0.1935483870967742,0.1935483870967742,0.7349181146767315,0.02988489903509617,0.011950927786529064,0.9176470637321472,0.799697124921741,0.0,0.0,0.0,0.06477901024500954,8.814452787505976,1.0,1.0
v,sphere0086v_crop.png,124,prop_30pct,37,37,0.29838709677419356,0.29838709677419356,0.7349181146767315,0.02988489903509617,0.011950927786529064,0.9176470637321472,0.7707115052957858,0.0,0.0,0.0,0.03579339061905429,4.870391667349053,1.0,1.0
v,sphere0086v_crop.png,124,asym_in5_out14,6,17,0.04838709677419355,0.13709677419354838,0.7349181146767315,0.02988489903509617,0.011950927786529064,0.9176470637321472,0.8783597862343955,0.0,0.0,0.0,0.14344167155766396,19.51804815979528,1.0,1.0
