crop_path,filename,folder,laplacian_var,tenengrad,tenengrad_var,brenner,norm_laplacian,energy_gradient
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0204v_crop.png,sphere0204v_crop.png,10mm-borosilicate-2,235.93537698283308,720469426.0,7646.730516531682,24408094.0,0.022893064950939467,16309520.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0205v_crop.png,sphere0205v_crop.png,10mm-borosilicate-2,234.17486462721163,712392234.0,7550.191975762426,24129758.0,0.022843850385593844,16133559.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0206v_crop.png,sphere0206v_crop.png,10mm-borosilicate-2,234.43978785381645,714115372.0,7572.914171714495,24539128.0,0.023242665050237317,16174600.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0207v_crop.png,sphere0207v_crop.png,10mm-borosilicate-2,233.3423967485015,710853356.0,7542.565484763168,24382112.0,0.023205664947148635,16094405.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0208v_crop.png,sphere0208v_crop.png,10mm-borosilicate-2,214.0220587454231,680727070.0,7213.3497069612185,23181641.0,0.02173171499610815,15213241.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0209v_crop.png,sphere0209v_crop.png,10mm-borosilicate-2,237.97892958927173,721003474.0,7651.240455347282,24641308.0,0.02322649403739998,16349098.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0210v_crop.png,sphere0210v_crop.png,10mm-borosilicate-2,208.27520068844726,687515904.0,7273.961908395182,23354358.0,0.020678357293454335,15225537.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0211v_crop.png,sphere0211v_crop.png,10mm-borosilicate-2,230.93891044766477,712398532.0,7551.658446396303,24396085.0,0.022506504576291615,16064802.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0212v_crop.png,sphere0212v_crop.png,10mm-borosilicate-2,233.7846165981071,715954874.0,7592.743799819491,24641561.0,0.023021956542788533,16182334.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0213v_crop.png,sphere0213v_crop.png,10mm-borosilicate-2,209.48233959847045,688993980.0,7298.128173920686,23367041.0,0.021028930182695322,15266501.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0214v_crop.png,sphere0214v_crop.png,10mm-borosilicate-2,236.50995244505413,721889092.0,7662.533160029273,24916556.0,0.0233078807329052,16343587.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0215v_crop.png,sphere0215v_crop.png,10mm-borosilicate-2,219.89824872477416,688187156.0,7295.453366202018,23335815.0,0.021409402584266893,15453502.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0216v_crop.png,sphere0216v_crop.png,10mm-borosilicate-2,231.37961881038345,706095944.0,7492.467314083352,23875177.0,0.022807633931250966,15983889.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0217v_crop.png,sphere0217v_crop.png,10mm-borosilicate-2,223.8941173875968,699586776.0,7413.5332728370095,23659798.0,0.021990536621385743,15734245.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0218v_crop.png,sphere0218v_crop.png,10mm-borosilicate-2,230.05726105249045,700699126.0,7435.538232747564,23559732.0,0.022842470103990663,15871509.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0219v_crop.png,sphere0219v_crop.png,10mm-borosilicate-2,216.23314535758848,693670944.0,7343.730385949849,23279087.0,0.02118254982112348,15477063.0
